Rk,Team,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,OppO,OppD,NCSOSAdjEM
1,Connecticut,31.95,126.5,94.5,64.5,0.047,10.2,111.5,101.3,-3.37
2,Houston,31.53,118.8,87.2,63.3,0.053,11.56,111.8,100.2,-0.87
3,Purdue,29.09,125,95.9,67.4,0.045,13.72,114,100.3,10.28
4,Auburn,28.84,120.5,91.7,69.8,-0.067,9.55,111.8,102.3,1.46
5,Arizona,26.68,121.1,94.5,71.8,-0.043,10.86,111.9,101.1,10.45
6,Iowa St.,26.56,113.8,87.2,67.3,0.012,10.23,110.9,100.7,-7.19
7,Tennessee,25.89,117,91.1,69.2,-0.03,12.54,114.3,101.7,8.47
8,Duke,24.84,121.8,97,66.7,-0.077,8.52,110.5,102,0.13
9,North Carolina,24.6,117.8,93.2,70.5,-0.024,11.2,112.4,101.2,7
10,Illinois,23.97,125.5,101.6,69.9,-0.032,11.07,111.6,100.5,-2.27
11,Creighton,23.2,120,96.8,67,-0.013,10.95,112,101.1,5.29
12,Marquette,22.47,118.2,95.7,69,0.036,12.86,113.2,100.3,8.23
13,Alabama,22.39,125.5,103.1,72.6,-0.028,13.57,114.4,100.9,9.13
14,Baylor,22.15,122.4,100.2,65.6,-0.004,13.91,112.7,98.8,3.15
15,Gonzaga,21.64,121,99.4,69.1,-0.052,3.46,108.4,105,7.55
16,BYU,20.84,120.3,99.5,69,-0.034,9.47,110.4,100.9,-5.45
17,Wisconsin,20.53,120,99.5,65.2,-0.031,13.93,113.2,99.3,6.01
18,Saint Mary's,20.03,115,94.9,61.9,0.02,3.19,108.3,105.1,5.55
19,Michigan St.,20.02,113.8,93.7,65.2,-0.104,12.3,114.1,101.8,4.41
20,San Diego St.,20.01,113.7,93.7,66,-0.032,11.33,112.8,101.5,10.76
21,Kentucky,19.94,122.7,102.7,72.7,-0.028,9.04,111.3,102.3,-0.21
22,New Mexico,19.29,115.6,96.3,72.7,-0.021,7.17,110.3,103.1,-0.31
23,Kansas,19.05,113.3,94.2,68.9,0.048,13.56,112.8,99.2,5.19
24,Colorado,18.56,117.6,99,67.5,0.012,8.21,110.3,102.1,-1.46
25,Texas Tech,18.35,117.8,99.5,66.6,0.04,10.34,111.2,100.9,-2.45
27,Texas,18.21,118.4,100.2,67.1,-0.034,10.29,111.1,100.8,-3.06
28,Nebraska,18.16,115.8,97.7,68.6,0.014,9.07,110.8,101.8,-5.25
29,Florida,18.08,119.3,101.2,71.7,-0.007,10.6,112.2,101.6,1.92
30,Colorado St.,18.03,115.7,97.7,65.9,-0.027,9.48,112,102.5,5.94
31,Mississippi St.,17.91,113.6,95.7,67.1,-0.044,11.09,112.6,101.5,0.75
33,Dayton,17.21,118.5,101.3,64.2,0.003,5.86,108.6,102.8,6.91
34,Nevada,17.17,115.8,98.6,66.6,0.059,5.99,109.9,103.9,-1.04
35,TCU,17.14,115,97.9,69.7,-0.049,9.68,110.6,100.9,-8.41
36,Clemson,16.94,117.4,100.5,66.1,-0.022,10.09,112.2,102.1,5.22
40,Florida Atlantic,16.37,118.9,102.6,68.1,-0.011,5.41,109.5,104,6.58
42,Washington St.,16.29,113.5,97.2,64.8,0.021,7.06,110,102.9,-5.03
44,Texas A&M,15.98,115.9,99.9,65.8,-0.025,11.34,112.6,101.3,5.18
46,Northwestern,15.9,116.6,100.7,63.7,0.008,9.71,111.7,102,-7.43
47,Utah St.,15.43,115.8,100.4,68.5,0.1,6.3,109.5,103.2,1.9
49,South Carolina,15,114.7,99.7,62.9,0.152,7.54,110.4,102.8,-6
51,Drake,14.74,115.6,100.9,67.8,0.065,2.63,107.8,105.1,-1.41
53,Grand Canyon,14.11,113.6,99.5,68.1,0.022,-1.22,104.2,105.4,-1.43
55,Oregon,13.49,114,100.6,67.2,0.049,9.16,110.9,101.7,-0.11
57,N.C. State,12.98,114.4,101.4,68.1,0,9.27,110.8,101.5,-4.85
58,James Madison,12.89,113.8,101,69.5,0.027,-4.45,103.4,107.8,-6.6
61,McNeese St.,12.7,114,101.3,65.6,0.016,-6.9,102.2,109.1,4.56
82,Samford,9.78,113.1,103.3,72.5,0.129,-2.73,104.3,107,-5.58
84,Yale,9.52,110.8,101.3,64.5,0.001,2.14,108.4,106.2,5.38
86,Duquesne,9.32,106.9,97.6,66.3,0.049,4.81,109,104.2,1.86
98,Charleston,7.61,113.7,106.1,69.8,0.05,-2.13,105.4,107.5,-0.12
104,Vermont,7,107.1,100.1,63.2,0.063,-2.63,104.3,107,2.57
106,UAB,6.41,113.7,107.3,67.8,0.116,4.59,108.9,104.4,1.93
111,Morehead St.,5.45,109,103.5,64.2,0.044,-5.8,103.1,108.9,7.94
117,Akron,4.94,107,102,65.9,-0.002,-1.85,105.4,107.2,6.5
132,Western Kentucky,3.13,105.6,102.5,75.2,-0.051,-2.46,103.7,106.2,-2.67
133,South Dakota St.,3,108.6,105.7,67.9,-0.018,-2.38,105.7,108,3.08
137,Oakland,2.8,108.6,105.8,66.7,0.082,-1.09,107.1,108.2,9.85
144,Colgate,2.17,104.6,102.5,66.2,0.057,-6.95,101.9,108.9,6.61
158,Longwood,0.92,105.7,104.8,66.8,-0.047,-4.05,104.5,108.5,-6.81
163,Long Beach St.,0.02,107.7,107.7,71.3,0.047,-0.53,104.9,105.5,1.53
187,Saint Peter's,-2.33,98.6,100.9,64,0.021,-4.3,102.7,107,0.52
209,Montana St.,-3.81,103.3,107.2,68.8,0,-2.96,105.7,108.6,0.14
220,Stetson,-4.14,110.2,114.4,66.2,0.137,-3.35,105.3,108.6,4.72
289,Wagner,-9.86,96.1,105.9,61.4,0.035,-8.17,100.4,108.5,-1.2